128 ! Wave(Fixed by MZ) Es(cm-1) Ar  Aa  F2  Dielectronic Satellites (AUTOSTRUCTURE)Diel Satelites Argon n=3
3.980485	21930660	2.35E-02	5.19E-03	2.24E-03	2	1s2p3s(4P1/2)-1s(2)3s(2S1/2)
3.980606	22009130	3.37E-01	2.34E-02	2.12E-02	4	1s2p3p(2P3/2)-1s(2)3p(2P3/2)
3.98066		22035490	6.77E-02	2.74E-03	6.76E-03	4	1s2p3d(4F3/2)-1s(2)3d(2D3/2)
3.981085	22035490	2.48E-03	2.74E-03	2.47E-04	4	1s2p3d(4F3/2)-1s(2)3d(2D5/2)
3.981587	22002930	8.36E-02	2.88E-02	9.92E-02	6	1s2p3p(4D5/2)-1s(2)3p(2P3/2)
3.982211	21990880	1.51E-01	4.57E-03	7.36E-03	4	1s2p3p(4D3/2)-1s(2)3p(2P1/2)
3.98324		21984370	9.87E-02	3.41E-04	2.04E-04	2	1s2p3p(4D1/2)-1s(2)3p(2P1/2)
3.983316	22018690	3.90E-02	3.22E+00	4.86E-02	2	1s2p3s(2P1/2)-1s(2)3d(2D3/2)
3.983491	21990880	4.74E-02	4.57E-03	2.30E-03	4	1s2p3p(4D3/2)-1s(2)3p(2P3/2)
3.98452		21984370	2.67E-02	3.41E-04	5.53E-05	2	1s2p3p(4D1/2)-1s(2)3p(2P3/2)
3.987346	21993230	2.70E-02	9.67E-04	6.16E-05	4	1s2s3p(2P3/2)-1s(2)3d(2D3/2)
3.987773	21993230	2.52E-01	9.67E-04	5.73E-04	4	1s2s3p(2P3/2)-1s(2)3d(2D5/2)
3.988608	21985270	2.48E-01	4.22E-02	1.44E-02	2	1s2s3p(2P1/2)-1s(2)3d(2D3/2)
3.990225	21940280	9.78E-03	5.57E-01	1.86E-02	4	1s2s3d(2D3/2)-1s(2)3p(2P1/2)
3.991441	21940720	8.33E-04	5.07E-01	2.41E-03	6	1s2s3d(2D5/2)-1s(2)3p(2P3/2)
3.991511	21940280	3.20E-03	5.57E-01	6.09E-03	4	1s2s3d(2D3/2)-1s(2)3p(2P3/2)
3.99207		21928660	2.87E-01	2.10E+00	4.02E-01	2	1s2s3s(2S1/2)-1s(2)3p(2P1/2)
3.992252	21856370	1.97E-01	7.90E-02	3.77E-02	4	1s2s3p(2P3/2)-1s(2)3s(2S1/2)
3.992276	21856220	1.20E-01	6.28E-02	9.05E-03	2	1s2s3p(2P1/2)-1s(2)3s(2S1/2)
3.992831	21958670	4.65E-05	3.01E-09	1.08E-11	6	1s2p3s(4P5/2)-1s(2)3d(2D3/2)
3.993258	21958670	4.99E-04	3.01E-09	1.16E-10	6	1s2p3s(4P5/2)-1s(2)3d(2D5/2)
3.993357	21928660	4.90E-01	2.10E+00	6.85E-01	2	1s2s3s(2S1/2)-1s(2)3p(2P3/2)
3.993714	21847170	2.08E-02	1.73E-02	5.40E-03	4	1s2s3p(4P3/2)-1s(2)3s(2S1/2)
3.993986	21845470	2.36E-03	3.63E-03	2.65E-04	2	1s2s3p(4P1/2)-1s(2)3s(2S1/2)
3.99582		21939870	2.95E-04	1.67E-02	9.64E-05	4	1s2p3s(4P3/2)-1s(2)3d(2D3/2)
3.996059	21903570	2.95E-03	5.16E-05	1.00E-06	4	1s2s3d(4D3/2)-1s(2)3p(2P1/2)
3.996242	21902420	2.06E-03	1.71E-05	1.15E-07	2	1s2s3d(4D1/2)-1s(2)3p(2P1/2)
3.996248	21939870	1.01E-03	1.67E-02	3.32E-04	4	1s2p3s(4P3/2)-1s(2)3d(2D5/2)
3.997061	21905380	2.01E-03	9.46E-05	1.92E-06	6	1s2s3d(4D5/2)-1s(2)3p(2P3/2)
3.997286	21930660	2.52E-04	5.19E-03	2.40E-05	2	1s2p3s(4P1/2)-1s(2)3d(2D3/2)
