hidden_scaling,train_generations,repeat_idx,model_path,metric_l2_sample_mean_to_true_norm,metric_forward_rmse_norm,last_epoch_loss,last_recon_loss,last_kl_loss
1,100,9,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n100_r9.pt,0.21946243477755872,0.12477454157066471,1.195056119790444,0.9345750648241776,0.2604810796104945
1,200,0,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r0.pt,0.167934392267283,0.08144904099719864,0.7668426793813705,0.5936623132228851,0.17318036254495384
1,200,1,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r1.pt,0.1356616394551429,0.07287318138890664,0.9053609943389893,0.727842036485672,0.17751895248889923
1,200,2,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r2.pt,0.1837035126220623,0.08530914042594223,0.6850736665725708,0.534292396903038,0.15078125938773154
1,200,3,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r3.pt,0.15737034494008748,0.07487668862057417,0.6108588945865631,0.5048938131332398,0.10596508882939816
1,200,4,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r4.pt,0.13459196606643256,0.07149805168767133,0.7325656092166901,0.5752300274372101,0.15733558028936387
1,200,5,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r5.pt,0.1700294508287928,0.0943261540007101,0.7079668247699737,0.535422785282135,0.17254404284060001
1,200,6,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r6.pt,0.17006526874254024,0.08560009956789591,0.7714925146102906,0.5730340015888215,0.1984585180878639
1,200,7,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r7.pt,0.14274275641129425,0.06152296614372103,0.7188107451796532,0.6018398952484131,0.11697084758430719
1,200,8,/home/jussi.hakosalo/Indica/indica/workflows/jussiphd/components/ml/flow_data/scaling_study/vae_s1_n200_r8.pt,0.16594327021247718,0.07254014494198859,0.7012906736135482,0.5505842471122742,0.15070641815662383
