pulse,t_idx,t_s,rmse_model_vs_t1d,coverage_t1d_in_model_95,mean_abs_resid_over_t1d_err
13793,59,0.14816666666666664,74620.43970703607,0.3170731707317073,1.3689643251969228
13793,60,0.15,71140.76427698738,0.2926829268292683,1.1053311130322279
13872,0,0.04,234126.53554551146,0.0,2.793443532372061
13872,1,0.041833333333333333,191097.71613838658,0.0,2.9870668870435417
13872,2,0.043666666666666666,148231.72575804286,0.0,3.3344835799433232
13872,3,0.0455,118164.43518519615,0.0,3.4297174133414985
13872,4,0.04733333333333333,108721.07912442983,0.0,2.8427277234491797
13872,5,0.049166666666666664,101868.04441724072,0.0975609756097561,2.4202111529337773
13872,6,0.051000000000000004,98782.92109367331,0.12195121951219512,2.195273934743892
13872,7,0.05283333333333333,96252.80665526557,0.14634146341463414,2.0226336501103668
13872,8,0.05466666666666667,91421.87639935662,0.14634146341463414,1.8432711637543988
13872,9,0.056499999999999995,80798.37118208567,0.1951219512195122,1.6618799374621842
13872,10,0.058333333333333334,65101.496283986045,0.43902439024390244,1.2829251954404772
13872,11,0.06016666666666666,62020.75443342195,0.36585365853658536,1.1567070927565763
