baseNode,RUN01,,,,,,,,,,,,,,,
Root node,,,,,,,,,,,,,,,,
Root info,,,,,,,,,,,,,,,,
Run name,RUN01,,,,,,,,,,,,,,,
runInfo,,,,,,,,,,,,,,,,
Script info,,,,,,,,,,,,,,,,
Script name,RUN01,,,,,,,,,,,,,,,
scriptNode,RUN01,,,,,,,,,,,,,,,
Tree,bda,,,,,,,,,,,,,,,
Run info,,,,,,,,,,,,,,,,
,,,,Data,,,Time,,,Dimension 1,,,Dimension 2,,,
Node,Node,Node,Data node,Node type,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description,Data,Unit,Description
PROFILES,PSI_NORM,,TIZ3,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ3'],dimensionless,Ion temperature of impurity Z3,,,,,,,,,
PROFILES,PSI_NORM,,TIZ3_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['TIZ3_ERR'],dimensionless,Ion temperature of impurity Z3 error,,,,,,,,,
PROFILES,PSI_NORM,,TI_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['TI_ERR'],eV,Ion temperature of main ion error,,,,,,,,,
PROFILES,PSI_NORM,,VOLUME,SIGNAL,data['PROFILES']['PSI_NORM']['VOLUME'],dimensionless,Volume inside magnetic surface,,,,,,,,,
PROFILES,PSI_NORM,,ZEFF,SIGNAL,data['PROFILES']['PSI_NORM']['ZEFF'],dimensionless,Effective charge,,,,,,,,,
PROFILES,PSI_NORM,,ZEFF_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['ZEFF_ERR'],dimensionless,Effective charge error,,,,,,,,,
PROFILES,PSI_NORM,,ZI,SIGNAL,data['PROFILES']['PSI_NORM']['ZI'],dimensionless,Average charge of main ion,,,,,,,,,
PROFILES,PSI_NORM,,ZIM1,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM1'],dimensionless,Average charge of impurity IMP1,,,,,,,,,
PROFILES,PSI_NORM,,ZIM1_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM1_ERR'],dimensionless,Average charge of impurity IMP1 error,,,,,,,,,
PROFILES,PSI_NORM,,ZIM2,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM2'],dimensionless,Average charge of impurity IMP2,,,,,,,,,
PROFILES,PSI_NORM,,ZIM2_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM2_ERR'],dimensionless,Average charge of impurity IMP2 error,,,,,,,,,
PROFILES,PSI_NORM,,ZIM3,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM3'],dimensionless,Average charge of impurity IMP3,,,,,,,,,
PROFILES,PSI_NORM,,ZIM3_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['ZIM3_ERR'],dimensionless,Averagnodese charge of impurity IMP3 error,,,,,,,,,
PROFILES,PSI_NORM,,ZI_ERR,SIGNAL,data['PROFILES']['PSI_NORM']['ZI_ERR'],dimensionless,Average charge of main ion error,,,,,,,,,
PROFILES,R_MIDPLANE,,,STRUCTURE,,,,,,,,,,,,
PROFILES,R_MIDPLANE,,NE,SIGNAL,data['PROFILES']['R_MIDPLANE']['NE'],1 / meter ** 3,Electron density,,,,,,,,,
PROFILES,R_MIDPLANE,,NE_ERR,SIGNAL,data['PROFILES']['R_MIDPLANE']['NE_ERR'],1 / meter ** 3,Electron density error,,,,,,,,,
PROFILES,R_MIDPLANE,,NFAST,SIGNAL,data['PROFILES']['R_MIDPLANE']['NFAST'],1 / meter ** 3,Density of fast ion,,,,,,,,,
