£
£  KB1 V06 - MkGB-SR simply extended septum chord onto replacement plate
£
*Bolometry/KB1/MkGB-SR/kb1/54550/63446
34 5 lines
'KB1/UPHC/ 07'    6.678300    0.972100    2.153200   -1.247300  206.126800
'KB1/UPHC/ 08'    6.663600    0.996000    2.265300   -1.339700  207.970400
'KB1/UPHC/ 09'    6.647300    1.018800    2.370100   -1.432700  209.819800
'KB1/UPHC/ 10'    6.629700    1.040600    2.391100   -1.573700  211.666200
'KB1/LOHC/ 01'    6.240700   -0.593100    1.817500    0.118100  170.866300
'KB1/LOHC/ 02'    6.235100   -0.620700    1.811900    0.357100  167.534100
'KB1/LOHC/ 03'    6.227800   -0.647800    1.830200    0.595700  164.210800
'KB1/LOHC/ 04'    6.218900   -0.674500    1.853900    0.839100  160.875000
'KB1/LOHC/ 05'    6.208200   -0.700500    1.892500    1.083700  157.539100
'KB1/LOHC/ 06'    6.196000   -0.725800    1.937500    1.332800  154.201100
'KB1/LOHC/ 07'    6.182200   -0.750200    2.033200    1.562500  150.864300
'KB1/LOHC/ 08'    6.166900   -0.773800    2.143500    1.788400  147.509600
'KB1/LOHC/ 09'    6.149800   -0.796800    2.351500    1.954400  144.083600
'KB1/LOHC/ 10'    6.132100   -0.817700    2.652500    2.020000  140.801900
£
£  KB1 V06 - updated 11/12/97 from C. Ingesson
£
*Bolometry/KB1/Mk1/kb1/28792/35778
34 5 lines
'KB1/VERC/ 01'    2.877200    3.163500    2.877200    3.163500  294.375200
'KB1/VERC/ 02'    2.904000    3.174600    3.879700    0.582200  290.625200
'KB1/VERC/ 03'    2.931400    3.183900    3.880700    0.054700  286.875700
'KB1/VERC/ 04'    2.959400    3.191400    3.783700   -0.343800  283.124300
'KB1/VERC/ 05'    2.987800    3.197100    3.628000   -0.680400  279.374700
'KB1/VERC/ 06'    3.016600    3.200900    3.425300   -0.949100  275.624800
'KB1/VERC/ 07'    3.045500    3.202800    3.191400   -1.254900  271.874400
'KB1/VERC/ 08'    3.074500    3.202800    2.911900   -1.764600  268.125600
'KB1/VERC/ 09'    3.103400    3.200900    2.616300   -1.745200  264.375200
'KB1/VERC/ 10'    3.132200    3.197100    2.311200   -1.775600  260.625300
'KB1/VERC/ 11'    3.160600    3.191400    2.145600   -1.161800  256.875700
'KB1/VERC/ 12'    3.188600    3.183900    1.994000   -0.753900  253.124300
'KB1/VERC/ 13'    3.216100    3.174600    1.881000   -0.372500  249.374800
'KB1/VERC/ 14'    3.242800    3.163500    1.819000    0.021000  245.624800
'KB1/UPHC/ 01'    6.733200    0.813600    1.913600   -0.479300  195.016400
'KB1/UPHC/ 02'    6.728400    0.840600    1.952000   -0.603600  196.823400
'KB1/UPHC/ 03'    6.721500    0.868700    1.991000   -0.735000  198.726700
'KB1/UPHC/ 04'    6.713300    0.895500    2.032100   -0.861500  200.573400
'KB1/UPHC/ 05'    6.703200    0.921700    2.072000   -0.989200  202.422100
'KB1/UPHC/ 06'    6.691500    0.947300    2.124500   -1.112400  204.275200
'KB1/UPHC/ 07'    6.678300    0.972100    2.180200   -1.234100  206.126800
'KB1/UPHC/ 08'    6.663600    0.996000    2.230000   -1.358500  207.970400
'KB1/UPHC/ 09'    6.647300    1.018800    2.283300   -1.482500  209.819800
'KB1/UPHC/ 10'    6.629700    1.040600    2.306000   -1.626200  211.666200
'KB1/LOHC/ 01'    6.240700   -0.593100    1.807600    0.119600  170.866300
'KB1/LOHC/ 02'    6.235100   -0.620700    1.811900    0.357100  167.534100
'KB1/LOHC/ 03'    6.227800   -0.647800    1.820600    0.598400  164.210800
'KB1/LOHC/ 04'    6.218900   -0.674500    1.863300    0.835900  160.875000
'KB1/LOHC/ 05'    6.208200   -0.700500    1.910900    1.076000  157.539100
'KB1/LOHC/ 06'    6.196000   -0.725800    1.991500    1.306600  154.201100
'KB1/LOHC/ 07'    6.182200   -0.750200    2.068200    1.543000  150.864300
'KB1/LOHC/ 08'    6.166900   -0.773800    2.177200    1.767000  147.509600
'KB1/LOHC/ 09'    6.149800   -0.796800    2.351500    1.954400  144.083600
