sample_idx,pulse,ne_rmse,te_rmse,ne_start,te_start
65,13793,2.00927160041472e+17,7.391408920288086,6.902220747149882e+19,1128.005859375
66,13800,1.1011170006518989e+17,4.7238969802856445,6.9459157790423515e+19,1711.6622314453125
67,13820,3.156609922414674e+17,5.099618911743164,6.146574344086408e+19,1485.137939453125
68,13826,1.2093751732207616e+17,2.2267842292785645,8.500122963806047e+19,1081.9918212890625
69,13829,5.058451677653238e+17,2.5729217529296875,7.337247360530619e+19,1265.4522705078125
70,13831,1.5223965816413225e+18,1.3735110759735107,1.1185583357625683e+20,812.3715209960938
71,13834,6.234109296016097e+17,2.532323122024536,9.126995004829047e+19,788.6710205078125
72,13852,2.0652260907496243e+17,3.7941861152648926,7.587422759635701e+19,1621.805908203125
73,13853,2.132535100225618e+17,4.0614471435546875,7.599289568731962e+19,1139.33544921875
74,13880,4.552424815591424e+17,4.781973838806152,1.0786099117319782e+20,1424.612060546875
75,13883,8.530524542777426e+17,3.256911516189575,1.2249643212084976e+20,1179.96875
76,13884,5.979079635537756e+17,3.0493688583374023,9.528475078641687e+19,1657.0804443359375
77,13888,4.724879434836869e+17,2.2382326126098633,1.0268648714274446e+20,1452.5496826171875
78,13889,1.9221499068022784e+17,4.412263870239258,8.456196154862443e+19,1619.102294921875
79,13890,2.702901259576279e+17,4.7948689460754395,8.863619748730189e+19,1648.478759765625
80,13899,2.0965114915271475e+17,4.223339557647705,8.040900057739821e+19,1630.505615234375
81,13904,2.771286759655342e+17,3.633826494216919,8.261680233378637e+19,1186.93603515625
82,13905,1.0420287475590103e+18,2.7288010120391846,9.32350588021029e+19,1187.697021484375
83,13906,5.7194612320003686e+17,3.326923370361328,9.081065325504286e+19,1048.5966796875
84,13916,3.9002398728493466e+17,2.4429965019226074,9.646779890962478e+19,1232.2509765625
85,14257,7.061218721896858e+16,5.127297878265381,6.216986628924532e+19,1502.708740234375
86,14258,6.794438975789466e+17,5.405450344085693,8.585787234140029e+19,1736.9715576171875
87,14259,7.369938480052306e+17,5.968829154968262,9.298634047580694e+19,1745.7330322265625
88,14261,2.0743475704941773e+17,6.516166687011719,7.981279259625993e+19,1547.00390625
89,14271,8.892766723086746e+16,4.383399963378906,5.050767190886711e+19,1793.781005859375
90,14319,6.780859577689702e+16,4.014072418212891,5.6357720281472565e+19,1759.98388671875
91,14383,8.145048994578432e+16,1.4899619817733765,4.155499963477079e+19,890.49560546875
92,14605,4.807649982981079e+17,10.782310485839844,1.1251104574938808e+20,1554.721923828125
93,14654,4.291251977490268e+17,5.750169277191162,3.0487922519996105e+19,1725.0213623046875
