sample_idx,pulse,removed_as_outlier,ne_max_abs_robust_z,te_max_abs_robust_z,ne_bad_count,te_bad_count,ne_bad_fraction,te_bad_fraction
59,13511,True,1.7429995772919538,536818261830.31433,0,1,0.0,0.0078125
60,13537,True,1.8858252418143675,771405515795.5658,0,1,0.0,0.0078125
61,13560,False,0.4710375313764423,1.4269800036857323,0,0,0.0,0.0
62,13562,True,1.3750740636159033,1435170977057.4175,0,1,0.0,0.0078125
63,13563,True,1.693443351597565,2652970496321.374,0,1,0.0,0.0078125
64,13564,True,2.246576799954343,394355160463.4883,0,1,0.0,0.0078125
65,13565,True,0.5561480678071345,2477031704161.5024,0,1,0.0,0.0078125
66,13567,False,0.32691690237071974,0.8923097260865405,0,0,0.0,0.0
67,13584,False,0.6812920656417696,1.8381590030905248,0,0,0.0,0.0
68,13587,True,1.6579388285025762,3414620405007.0005,0,1,0.0,0.0078125
69,13618,True,2.0588114142257687,244159174563.6715,0,1,0.0,0.0078125
70,13619,False,2.097350783772181,1.642941749547534,0,0,0.0,0.0
71,13640,False,0.5331543736408372,1.1925830686281909,0,0,0.0,0.0
72,13642,True,1.2147830589225177,1826537181278.4155,0,1,0.0,0.0078125
73,13643,True,1.7295790424764346,854724495256.2189,0,1,0.0,0.0078125
74,13661,True,1.179261037192384,1216336700833.6333,0,1,0.0,0.0078125
75,13662,False,0.5781994559362316,0.6744907594765952,0,0,0.0,0.0
76,13663,False,3.05452653041072,1.163850863504388,0,0,0.0,0.0
77,13664,False,0.5361698503557649,0.9277625225197503,0,0,0.0,0.0
78,13668,False,1.3729833987263653,0.9460542063489318,0,0,0.0,0.0
79,13669,False,0.2240160380405242,0.6744907594765952,0,0,0.0,0.0
80,13670,False,1.3829399736125672,0.6792577578632029,0,0,0.0,0.0
81,13671,False,1.2347475908233378,0.9714435836715102,0,0,0.0,0.0
82,13672,False,2.3557997040392418,0.9799591275465531,0,0,0.0,0.0
83,13673,False,1.1497396743102792,1.1496592897579114,0,0,0.0,0.0
84,13681,False,1.293559418418306,1.1053329857651923,0,0,0.0,0.0
85,13683,True,2.1790640718147283,196027237925.47095,0,1,0.0,0.0078125
86,13684,False,3.194886302883263,1.2498802836776455,0,0,0.0,0.0
87,13685,True,1.5123319232969588,2300075942425.051,0,1,0.0,0.0078125
88,13686,False,2.3258064002106322,0.9954835510330703,0,0,0.0,0.0
89,13689,True,1.6292406970674473,3035381128796.678,0,1,0.0,0.0078125
90,13691,False,0.7574493967586194,0.6744907594765952,0,0,0.0,0.0
91,13701,False,0.4546440723206726,0.8713487499501911,0,0,0.0,0.0
92,13711,False,2.7765311421866588,1.496730845065665,0,0,0.0,0.0
93,13720,True,2.2291026988973757,2115409287077.429,0,1,0.0,0.0078125
94,13734,False,2.160112864491988,1.3464267277579889,0,0,0.0,0.0
95,13735,False,1.9625352972303822,1.6103390832785776,0,0,0.0,0.0
96,13751,False,1.0013608721422695,1.2388046184074526,0,0,0.0,0.0
97,13759,True,1.634704423777735,1350397943372.9438,0,1,0.0,0.0078125
98,13762,True,1.7106668942375516,3774100496237.31,0,1,0.0,0.0078125
99,13763,False,1.3262436472215398,0.8867819868167979,0,0,0.0,0.0
100,13764,False,3.6772131928149245,1.6591065207572258,0,0,0.0,0.0
101,13766,False,4.553957565855492,0.7968440883247413,0,0,0.0,0.0
102,13767,False,2.4760473239454726,1.2552181571184529,0,0,0.0,0.0
103,13778,False,1.3383304957854754,1.2881282398824083,0,0,0.0,0.0
104,13779,False,4.496297723531239,1.015487319209538,0,0,0.0,0.0
105,13780,False,0.6001743601793849,0.7699308762727739,0,0,0.0,0.0
106,13781,False,0.4195299973603212,0.9774528441472499,0,0,0.0,0.0
107,13786,False,1.3923221087196207,1.4642582227721066,0,0,0.0,0.0
108,13787,False,1.1560007355106265,0.8194513540540886,0,0,0.0,0.0
109,13789,False,0.8797571750889538,1.7751281147015323,0,0,0.0,0.0
110,13790,False,0.9201131597277785,1.1361257200861394,0,0,0.0,0.0
111,13791,False,0.9201131597277785,1.1264057978098616,0,0,0.0,0.0
112,13792,False,0.8090984981940172,1.0067446555391493,0,0,0.0,0.0
113,13793,False,0.6744907594765952,1.6534284113471822,0,0,0.0,0.0
114,13800,False,1.1161113967368668,1.2153200681079863,0,0,0.0,0.0
115,13820,False,0.9870391473807769,0.693507529315201,0,0,0.0,0.0
116,13821,True,1.434087579192866,3462591972747.313,0,1,0.0,0.0078125
117,13822,True,1.3923221087196207,1253917859534.286,0,1,0.0,0.0078125
118,13824,True,1.2024725345583618,2288365515237.168,0,1,0.0,0.0078125
119,13825,True,0.5105273389654177,99494377884.58115,0,1,0.0,0.0078125
120,13826,False,1.0446244831391118,1.3786484282462088,0,0,0.0,0.0
121,13829,False,0.9507096144667748,1.2594350393802392,0,0,0.0,0.0
122,13830,True,0.9320037831355491,863052099545.1534,0,1,0.0,0.0078125
123,13831,False,4.312080887929075,2.7833493282700124,0,0,0.0,0.0
124,13834,False,1.3006690912936307,2.4438845334709636,0,0,0.0,0.0
125,13852,False,0.6595242731349396,0.9085470071436411,0,0,0.0,0.0
126,13853,False,0.7815661081734051,1.396560641259715,0,0,0.0,0.0
127,13855,True,1.719961445483119,1194290379578.6494,0,1,0.0,0.0078125
128,13857,True,2.2300557270848835,1772657895110.7095,0,1,0.0,0.0078125
129,13859,True,1.028899163364164,2229547397691.2295,0,1,0.0,0.0078125
130,13860,True,0.69963232663792,1352610704500.9875,0,1,0.0,0.0078125
131,13879,True,0.5200808714168833,1670146589897.976,0,1,0.0,0.0078125
132,13880,False,2.713855782502222,1.7705561414860016,0,0,0.0,0.0
133,13883,False,3.140119798670557,1.0308311272143753,0,0,0.0,0.0
134,13884,False,2.216545595329286,1.074605940531719,0,0,0.0,0.0
135,13888,False,2.560486414509149,1.3044282056604526,0,0,0.0,0.0
136,13889,False,0.6348986878532786,0.9049224752794787,0,0,0.0,0.0
137,13890,False,0.8478623528154828,1.0089744647617358,0,0,0.0,0.0
138,13899,False,1.193229661946497,0.9402283877688795,0,0,0.0,0.0
139,13902,True,0.9477742923829896,1756875247716.0354,0,1,0.0,0.0078125
140,13904,False,0.497620625657823,1.2460384933974806,0,0,0.0,0.0
141,13905,False,1.5957321852000679,1.3714541959961288,0,0,0.0,0.0
142,13906,False,2.0783710688137687,1.430151078482682,0,0,0.0,0.0
143,13916,False,1.3973452313714234,1.2842914113921262,0,0,0.0,0.0
144,13923,True,1.017570087388696,4452781028855.624,0,1,0.0,0.0078125
145,14051,True,2.681554140043315,3041317632416.0723,0,1,0.0,0.0078125
146,14194,True,1.7377667086952768,1849385387225.6226,0,1,0.0,0.0078125
147,14241,True,0.5973260597805354,4739753633604.8955,0,1,0.0,0.0078125
148,14257,False,1.128582302952958,1.2807462780607557,0,0,0.0,0.0
149,14258,False,1.5146620239877335,1.6599406439894493,0,0,0.0,0.0
150,14259,False,1.3923221087196207,1.671674073894815,0,0,0.0,0.0
151,14261,False,0.7650806332017471,1.9727730833008956,0,0,0.0,0.0
152,14271,False,1.7099094515056972,1.4814361533768508,0,0,0.0,0.0
153,14302,True,1.7913815548496392,6121245373538.45,0,2,0.0,0.015625
154,14303,True,1.7066873502213227,5249196534598.708,0,1,0.0,0.0078125
155,14304,False,1.999312376216873,4.166892633942242,0,0,0.0,0.0
156,14306,False,1.8917762908925646,4.020722743339456,0,0,0.0,0.0
157,14319,False,1.3348641579803955,1.3679896941124083,0,0,0.0,0.0
158,14346,False,3.3624005548296614,4.5046613827719515,0,0,0.0,0.0
159,14383,False,2.2844626293214745,2.5035989798285954,0,0,0.0,0.0
160,14391,True,2.43716711797331,1930037635742.5005,0,1,0.0,0.0078125
161,14413,True,4.286851524373617,3624565122453.3364,0,1,0.0,0.0078125
162,14423,True,2.5436275055397997,1477681720496.414,0,1,0.0,0.0078125
163,14459,True,3.8195178281631104,5007604508687.494,0,1,0.0,0.0078125
164,14522,True,2.172278253423789,2010976610501.4788,0,1,0.0,0.0078125
165,14523,True,4.85024639201285,1047345431857.9819,0,1,0.0,0.0078125
166,14525,True,3.5337416613823938,3661417565525.2295,0,1,0.0,0.0078125
167,14530,True,3.6156029627759674,2157714353083.0847,0,1,0.0,0.0078125
168,14533,True,3.5871180907788136,4865876836814.042,0,1,0.0,0.0078125
169,14575,True,2.5090851336652653,1192317950682.1365,0,1,0.0,0.0078125
170,14581,True,1.8718889171732087,2501705116417.089,0,1,0.0,0.0078125
171,14600,True,2.591218777906197,1169252167278.0803,0,1,0.0,0.0078125
172,14605,False,4.303106283360863,3.260479288660162,0,0,0.0,0.0
173,14620,True,0.9600651553064359,11545558472997.053,0,2,0.0,0.015625
174,14654,False,3.0169222430008102,1.5379158836205857,0,0,0.0,0.0
175,14664,True,1.7609766448641095,2290397203034.5303,0,1,0.0,0.0078125
176,14691,True,1.7626961663310001,3346024810037.648,0,1,0.0,0.0078125
