pulse,time_s
13808,0.12000000000000002
13809,0.04
13809,0.05
13809,0.060000000000000005
13809,0.08000000000000002
13809,0.09000000000000001
13809,0.1
13809,0.11000000000000001
13809,0.12000000000000002
13809,0.13000000000000003
13810,0.09000000000000001
13810,0.1
13810,0.11000000000000001
13810,0.12000000000000002
13811,0.08000000000000002
13811,0.09000000000000001
13811,0.1
13811,0.11000000000000001
13811,0.12000000000000002
13811,0.13000000000000003
13820,0.04
13820,0.07
13820,0.08000000000000002
13820,0.09000000000000001
13820,0.1
13820,0.11000000000000001
13820,0.12000000000000002
13820,0.13000000000000003
13820,0.14
13820,0.15000000000000002
13821,0.07
13821,0.08000000000000002
13821,0.09000000000000001
13821,0.1
13821,0.11000000000000001
13821,0.12000000000000002
13821,0.13000000000000003
13821,0.14
13821,0.15000000000000002
13822,0.07
13822,0.08000000000000002
13822,0.09000000000000001
13822,0.1
13822,0.11000000000000001
13822,0.12000000000000002
13822,0.13000000000000003
13822,0.14
13823,0.07
13823,0.11000000000000001
13823,0.13000000000000003
13823,0.14
13824,0.08000000000000002
13824,0.1
13824,0.11000000000000001
13824,0.12000000000000002
13824,0.13000000000000003
13824,0.14
13825,0.09000000000000001
13825,0.1
13825,0.11000000000000001
13825,0.12000000000000002
13825,0.13000000000000003
13825,0.14
13826,0.1
13826,0.11000000000000001
13826,0.13000000000000003
13826,0.14
13827,0.11000000000000001
13827,0.14
13829,0.04
13829,0.07
13829,0.08000000000000002
13829,0.09000000000000001
13829,0.1
13829,0.11000000000000001
13829,0.12000000000000002
13829,0.13000000000000003
13829,0.14
13830,0.07
13830,0.1
13830,0.14
13830,0.15000000000000002
13832,0.07
13832,0.1
13832,0.11000000000000001
13832,0.14
13832,0.15000000000000002
13833,0.07
13833,0.08000000000000002
13833,0.09000000000000001
13833,0.1
13833,0.11000000000000001
13833,0.12000000000000002
13833,0.13000000000000003
13833,0.14
13834,0.04
13834,0.09000000000000001
13834,0.1
13834,0.11000000000000001
13834,0.13000000000000003
13834,0.14
13852,0.07
13852,0.08000000000000002
13852,0.09000000000000001
13852,0.1
13852,0.11000000000000001
13852,0.12000000000000002
13852,0.13000000000000003
13852,0.14
13852,0.15000000000000002
13853,0.04
