sample_idx,pulse,t_s,timepoint_index,n_timepoints_for_pulse
302,11442,0.13276109099388123,6,8
303,11442,0.14907009899616241,7,8
304,11443,0.040886979550123215,0,8
305,11443,0.05556509271264076,1,8
306,11443,0.07024320214986801,2,8
307,11443,0.0865522176027298,3,8
308,11443,0.10123033076524734,4,8
309,11443,0.11753933876752853,5,8
310,11443,0.13221745193004608,6,8
311,11443,0.14852645993232727,7,8
312,11444,0.041974250227212906,0,8
313,11444,0.05773962661623955,1,8
314,11444,0.0724177360534668,2,8
315,11444,0.08709584921598434,3,8
316,11444,0.10177396237850189,4,8
317,11444,0.11645207554101944,5,8
318,11444,0.131130188703537,6,8
319,11444,0.14852645993232727,7,8
320,11468,0.041974250227212906,0,8
321,11468,0.059370528906583786,1,8
322,11468,0.07676681131124496,2,8
323,11468,0.08981402218341827,3,8
324,11468,0.10449212789535522,4,8
325,11468,0.11753933876752853,5,8
326,11468,0.13058654963970184,6,8
327,11468,0.14961373805999756,7,8
328,11470,0.04143061488866806,0,8
329,11470,0.05610872805118561,1,8
330,11470,0.07078684121370316,2,8
331,11470,0.08709584921598434,3,8
332,11470,0.10177396237850189,4,8
333,11470,0.11808297783136368,5,8
334,11470,0.13276109099388123,6,8
335,11470,0.14907009899616241,7,8
336,11471,0.041974250227212906,0,8
337,11471,0.05882689729332924,1,8
338,11471,0.07350500673055649,2,8
339,11471,0.08818311989307404,3,8
340,11471,0.10286123305559158,4,8
341,11471,0.11753933876752853,5,8
342,11471,0.13221745193004608,6,8
343,11471,0.14961373805999756,7,8
344,11472,0.041974250227212906,0,8
345,11472,0.059370528906583786,1,8
346,11472,0.07513590902090073,2,8
347,11472,0.08981402218341827,3,8
348,11472,0.10286123305559158,4,8
349,11472,0.11753933876752853,5,8
350,11472,0.13058654963970184,6,8
351,11472,0.14961373805999756,7,8
352,11473,0.041974250227212906,0,8
353,11473,0.059370528906583786,1,8
354,11473,0.07513590902090073,2,8
355,11473,0.08981402218341827,3,8
356,11473,0.10286123305559158,4,8
357,11473,0.11753933876752853,5,8
358,11473,0.13058654963970184,6,8
359,11473,0.14961373805999756,7,8
360,11475,0.04143061488866806,0,8
361,11475,0.05610872805118561,1,8
362,11475,0.07078684121370316,2,8
363,11475,0.08709584921598434,3,8
364,11475,0.10177396237850189,4,8
365,11475,0.11808297783136368,5,8
366,11475,0.13276109099388123,6,8
367,11475,0.14961373805999756,7,8
368,11476,0.040886979550123215,0,8
369,11476,0.05556509271264076,1,8
370,11476,0.07187410444021225,2,8
371,11476,0.0854649469256401,3,8
372,11476,0.0995994284749031,4,8
373,11476,0.11590844392776489,5,8
374,11476,0.13221745193004608,6,8
375,11476,0.14852645993232727,7,8
376,11478,0.04034334793686867,0,8
377,11478,0.05502145737409592,1,8
378,11478,0.0713304728269577,2,8
379,11478,0.08600858598947525,3,8
380,11478,0.10231759399175644,4,8
381,11478,0.11699570715427399,5,8
382,11478,0.13330471515655518,6,8
383,11478,0.14961373805999756,7,8
384,11480,0.040886979550123215,0,8
385,11480,0.050672389566898346,1,8
386,11480,0.06045779585838318,2,8
387,11480,0.0713304728269577,3,8
388,11480,0.08111587911844254,4,8
389,11480,0.09198855608701706,5,8
390,11480,0.10177396237850189,6,8
391,11480,0.11862660944461823,7,8
392,11482,0.04034334793686867,0,8
393,11482,0.05502145737409592,1,8
394,11482,0.0713304728269577,2,8
395,11482,0.08600858598947525,3,8
396,11482,0.10231759399175644,4,8
397,11482,0.11699570715427399,5,8
398,11482,0.13330471515655518,6,8
399,11482,0.14961373805999756,7,8
400,11484,0.041974250227212906,0,8
401,11484,0.059370528906583786,1,8
402,11484,0.07513590902090073,2,8
403,11484,0.08981402218341827,3,8
404,11484,0.10286123305559158,4,8
405,11484,0.11753933876752853,5,8
406,11484,0.13058654963970184,6,8
407,11484,0.14961373805999756,7,8
408,11512,0.040886979550123215,0,8
409,11512,0.057195995002985,1,8
410,11512,0.07078684121370316,2,8
411,11512,0.08165951073169708,3,8
412,11512,0.09307581931352615,4,8
413,11512,0.10938483476638794,5,8
414,11512,0.12569384276866913,6,8
415,11512,0.14852645993232727,7,8
416,11514,0.040886979550123215,0,8
417,11514,0.04958512261509895,1,8
418,11514,0.05882689729332924,2,8
419,11514,0.06752503663301468,3,8
420,11514,0.07731044292449951,4,8
421,11514,0.08600858598947525,5,8
422,11514,0.09470672160387039,6,8
423,11514,0.10449212789535522,7,8
424,11515,0.041974250227212906,0,8
425,11515,0.06154506281018257,1,8
426,11515,0.07676681131124496,2,8
427,11515,0.08981402218341827,3,8
428,11515,0.10449212789535522,4,8
429,11515,0.11753933876752853,5,8
430,11515,0.13058654963970184,6,8
431,11515,0.14961373805999756,7,8
432,11522,0.041974250227212906,0,8
433,11522,0.059370528906583786,1,8
434,11522,0.07513590902090073,2,8
435,11522,0.08981402218341827,3,8
436,11522,0.10286123305559158,4,8
437,11522,0.11753933876752853,5,8
438,11522,0.13058654963970184,6,8
439,11522,0.14961373805999756,7,8
440,11523,0.041974250227212906,0,8
441,11523,0.06154506281018257,1,8
442,11523,0.07676681131124496,2,8
443,11523,0.08981402218341827,3,8
444,11523,0.10449212789535522,4,8
445,11523,0.11753933876752853,5,8
446,11523,0.13058654963970184,6,8
447,11523,0.14961373805999756,7,8
448,11558,0.04143061488866806,0,8
449,11558,0.05610872805118561,1,8
450,11558,0.07078684121370316,2,8
451,11558,0.08709584921598434,3,8
452,11558,0.10177396237850189,4,8
453,11558,0.11808297783136368,5,8
454,11558,0.13276109099388123,6,8
455,11558,0.14907009899616241,7,8
456,11559,0.040886979550123215,0,8
457,11559,0.05284692347049713,1,8
458,11559,0.06480686366558075,2,8
459,11559,0.07676681131124496,3,8
460,11559,0.08872675150632858,4,8
461,11559,0.10177396237850189,5,8
462,11559,0.11971388012170792,6,8
463,11559,0.13765379786491394,7,8
464,11567,0.040886979550123215,0,8
465,11567,0.052303291857242584,1,8
466,11567,0.0642632320523262,2,8
467,11567,0.07622317224740982,3,8
468,11567,0.08709584921598434,4,8
469,11567,0.09905579686164856,5,8
470,11567,0.11699570715427399,6,8
471,11567,0.13493561744689941,7,8
472,11571,0.041974250227212906,0,8
473,11571,0.059370528906583786,1,8
474,11571,0.07513590902090073,2,8
475,11571,0.08981402218341827,3,8
476,11571,0.10286123305559158,4,8
477,11571,0.11753933876752853,5,8
478,11571,0.13058654963970184,6,8
479,11571,0.14961373805999756,7,8
480,11573,0.040886979550123215,0,8
481,11573,0.057195995002985,1,8
482,11573,0.06915593892335892,2,8
483,11573,0.08002861589193344,3,8
484,11573,0.09198855608701706,4,8
485,11573,0.1077539324760437,5,8
486,11573,0.12406294792890549,6,8
487,11573,0.1420028656721115,7,8
488,11574,0.04143061488866806,0,8
489,11574,0.05610872805118561,1,8
490,11574,0.07078684121370316,2,8
491,11574,0.08709584921598434,3,8
492,11574,0.10177396237850189,4,8
493,11574,0.11808297783136368,5,8
494,11574,0.13276109099388123,6,8
495,11574,0.14907009899616241,7,8
496,11577,0.041974250227212906,0,8
497,11577,0.059370528906583786,1,8
498,11577,0.07513590902090073,2,8
499,11577,0.08981402218341827,3,8
500,11577,0.10286123305559158,4,8
501,11577,0.11753933876752853,5,8
502,11577,0.13058654963970184,6,8
